ISO2,"Hello, world!","Sorry, I Dont Speak","Please, be quiet"
en,"Hello, world!","Sorry, I don't speak that language.","Please, be quiet."
es,"¡Hola, mundo!","Lo siento, no hablo ese idioma.","Por favor, guarda silencio."
fr,"Bonjour, le monde!","Désolé, je ne parle pas cette langue.","S'il vous plaît, soyez silencieux."
de,"Hallo, Welt!","Entschuldigung, ich spreche diese Sprache nicht.",Bitte seien Sie ruhig.
it,"Ciao, mondo!","Scusa, non parlo quella lingua.","Per favore, stai zitto."
pt,"Olá, mundo!","Desculpe, eu não falo esse idioma.","Por favor, fique quieto."
ru,"Привет, мир!","Извините, я не говорю на этом языке.","Пожалуйста, будьте тише."
zh,你好，世界！,对不起，我不会说那种语言。,请安静。
ja,こんにちは、世界！,すみません、その言語は話せません。,静かにしてください。
ko,"안녕하세요, 세계!",죄송합니다. 그 언어를 못합니다.,조용히 해주세요.
ar,مرحبا بالعالم!,عذرًا، أنا لا أتحدث هذه اللغة.,من فضلك، كن هادئًا.
hi,नमस्ते दुनिया!,"माफ़ कीजिए, मैं वह भाषा नहीं बोलता।",कृपया शांत रहें।
bn,ওহে বিশ্ব!,"দুঃখিত, আমি সেই ভাষা বলি না।",দয়া করে চুপ থাকুন।
tr,"Merhaba, dünya!","Üzgünüm, o dili konuşamıyorum.",Lütfen sessiz olun.
pl,"Witaj, świecie!","Przepraszam, nie mówię tym językiem.","Proszę, bądź cicho."
uk,"Привіт, світе!","Вибачте, я не розмовляю цією мовою.","Будь ласка, будьте тихо."
fa,سلام دنیا!,متاسفم، من آن زبان را صحبت نمی‌کنم.,لطفا ساکت باشید.
sv,"Hej, världen!","Förlåt, jag talar inte det språket.",Var snäll och var tyst.
no,"Hei, verden!","Beklager, jeg snakker ikke det språket.","Vær så snill, vær stille."
da,"Hej, verden!","Undskyld, jeg taler ikke det sprog.",Vær venlig at være stille.
fi,"Hei, maailma!","Anteeksi, en puhu tuota kieltä.",Ole hyvä ja ole hiljaa.
cs,"Ahoj, světe!","Promiňte, nemluvím tímto jazykem.",Buďte prosím potichu.
el,"Γειά σου, κόσμε!","Συγγνώμη, δεν μιλάω αυτή τη γλώσσα.","Παρακαλώ, ησυχία."
he,"שלום, עולם!","סליחה, אני לא מדבר את השפה הזו.","בבקשה, תהיה בשקט."
id,"Halo, dunia!","Maaf, saya tidak berbicara bahasa itu.",Tolong diam.
ms,"Halo, dunia!","Maaf, saya tidak bercakap bahasa itu.",Sila diam.
vi,"Xin chào, thế giới!","Xin lỗi, tôi không nói ngôn ngữ đó.",Làm ơn yên lặng.
th,สวัสดีชาวโลก!,ขอโทษ ฉันพูดภาษานั้นไม่ได้,กรุณาเงียบ.
nl,"Hallo, wereld!","Sorry, ik spreek die taal niet.","Alsjeblieft, wees stil."
ro,"Salut, lume!","Scuze, nu vorbesc limba respectivă.","Vă rog, fiți liniștit."
